"","subject","display","screen","task","block","response","rt","correct","correctResponse","T1.pie","T1.reward","T1.fractalInfo","T1.fractalOut","T1.leftInfo","T1.rightInfo","T1.leftOut","T1.rightOut","mapping","T2.leftFractal","T2.rightFractal","T3.img"
"707","1","T1Trial","Outcome",1,"H","left","433.8",1,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"708","1","T1Trial","left",1,"H","","1000.156",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"709","1","T1Trial","Blank",1,"H","","16.688",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"710","1","T1Trial","Progress",1,"H","","999.969",0,"right","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","f0.png","3.png","","","",""
"711","1","T1Trial","Pie",1,"H","","1000.008",0,"right","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","f0.png","3.png","","","",""
"712","1","T1Trial","Wait",1,"H","","1499.823",0,"right","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","f0.png","3.png","","","",""
"713","1","T1Trial","Outcome",1,"H","right","380.2",1,"right","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","f0.png","3.png","","","",""
"714","1","T1Trial","right",1,"H","","999.981",0,"right","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","f0.png","3.png","","","",""
"715","1","T1Trial","Blank",1,"H","","16.667",0,"right","pie23.png",1,"f0.png","f0.png","f0.png","pie23.png","f0.png","3.png","","","",""
"716","1","T1Trial","Progress",1,"H","","999.966",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"717","1","T1Trial","Pie",1,"H","","999.998",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"718","1","T1Trial","Wait",1,"H","","1500.167",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"719","1","T1Trial","Outcome",1,"H","left","431.8",1,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"720","1","T1Trial","left",1,"H","","1000.056",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"721","1","T1Trial","Blank",1,"H","","16.663",0,"left","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","0.png","f0.png","","","",""
"722","1","T1Trial","Progress",1,"H","","1000.001",0,"right","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","f7.png","0.png","","","",""
"723","1","T1Trial","Pie",1,"H","","999.852",0,"right","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","f7.png","0.png","","","",""
"724","1","T1Trial","Wait",1,"H","","1500.142",0,"right","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","f7.png","0.png","","","",""
"725","1","T1Trial","Outcome",1,"H","right","441.9",1,"right","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","f7.png","0.png","","","",""
"726","1","T1Trial","right",1,"H","","999.892",0,"right","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","f7.png","0.png","","","",""
"727","1","T1Trial","Blank",1,"H","","16.659",0,"right","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","f7.png","0.png","","","",""
"728","1","T1Trial","Progress",1,"H","","1000.127",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"729","1","T1Trial","Pie",1,"H","","999.87",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"730","1","T1Trial","Wait",1,"H","","1499.987",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"731","1","T1Trial","Outcome",1,"H","left","356",1,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"732","1","T1Trial","left",1,"H","","1000.058",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"733","1","T1Trial","Blank",1,"H","","16.661",0,"left","pie13.png",0,"f2.png","f7.png","f2.png","pie13.png","0.png","f7.png","","","",""
"734","1","T1Trial","Progress",1,"H","","1000.004",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","13.png","","","",""
"735","1","T1Trial","Pie",1,"H","","999.772",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","13.png","","","",""
"736","1","T1Trial","Wait",1,"H","","1500.218",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","13.png","","","",""
"737","1","T1Trial","Outcome",1,"H","right","345.3",1,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","13.png","","","",""
"738","1","T1Trial","right",1,"H","","1000.019",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","13.png","","","",""
"739","1","T1Trial","Blank",1,"H","","16.642",0,"right","pie23.png",1,"f0.png","f0.png","pie23.png","f0.png","f0.png","13.png","","","",""
"740","1","T1Trial","Progress",1,"H","","1000.031",0,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","46.png","","","",""
"741","1","T1Trial","Pie",1,"H","","999.985",0,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","46.png","","","",""
"742","1","T1Trial","Wait",1,"H","","1500.005",0,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","46.png","","","",""
"743","1","T1Trial","Outcome",1,"H","right","424.1",1,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","46.png","","","",""
"744","1","T1Trial","right",1,"H","","1000.113",0,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","46.png","","","",""
"745","1","T1Trial","Blank",1,"H","","16.682",0,"right","pie13.png",1,"f2.png","f6.png","f2.png","pie13.png","f6.png","46.png","","","",""
"746","1","T1Trial","Progress",1,"H","","1000.024",0,"right","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","f0.png","0.png","","","",""
"747","1","T1Trial","Pie",1,"H","","999.844",0,"right","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","f0.png","0.png","","","",""
"748","1","T1Trial","Wait",1,"H","","1500.157",0,"right","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","f0.png","0.png","","","",""
"749","1","T1Trial","Outcome",1,"H","right","386.5",1,"right","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","f0.png","0.png","","","",""
"750","1","T1Trial","right",1,"H","","999.919",0,"right","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","f0.png","0.png","","","",""
"751","1","T1Trial","Blank",1,"H","","16.86",0,"right","pie23.png",0,"f0.png","f0.png","f0.png","pie23.png","f0.png","0.png","","","",""
"752","1","T1Trial","Progress",1,"H","","999.759",0,"right","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","f7.png","0.png","","","",""
"753","1","T1Trial","Pie",1,"H","","1000.154",0,"right","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","f7.png","0.png","","","",""
"754","1","T1Trial","Wait",1,"H","","1499.841",0,"right","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","f7.png","0.png","","","",""
"755","1","T1Trial","Outcome",1,"H","right","382.7",1,"right","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","f7.png","0.png","","","",""
"756","1","T1Trial","right",1,"H","","999.916",0,"right","pie13.png",0,"f2.png","f7.png","pie13.png","f2.png","f7.png","0.png","","","",""
