"","subject","task","display","screen","rt","response","T2.leftFractal","T2.rightFractal","trial","T2.chosenFractal"
"159","7",2,"T2Trial","Choice","1228","left","fp13L","fr0p0",15,"fp13L"
"160","7",2,"T2Trial","Choice","756","left","fp13H","fr0p13",16,"fp13H"
"161","7",2,"T2Trial","Choice","944","right","fr0p13","fr0p0",17,"fr0p0"
"162","7",2,"T2Trial","Choice","657","left","fp13L","fp13H",18,"fp13L"
"163","7",2,"T2Trial","Choice","877","left","fr1p13","fr1p1",19,"fr1p13"
"164","7",2,"T2Trial","Choice","1016","right","fr0p13","fp13H",20,"fp13H"
"165","7",2,"T2Trial","Choice","776","right","fp13H","fp1H",21,"fp1H"
"166","7",2,"T2Trial","Choice","695","right","fp13H","fp13L",22,"fp13L"
"167","7",2,"T2Trial","Choice","649","right","fp13H","fp13L",23,"fp13L"
"168","7",2,"T2Trial","Choice","1204","left","fp1H","fp13H",24,"fp1H"
"169","8",2,"T2Trial","Choice","634.4","right","fr0p13","fr0p0",1,"fr0p0"
"170","8",2,"T2Trial","Choice","751.8","left","fp13L","fr0p0",2,"fp13L"
"171","8",2,"T2Trial","Choice","1366.8","left","fr1p13","fr1p1",3,"fr1p13"
"172","8",2,"T2Trial","Choice","879.3","left","fp13H","fp13L",4,"fp13H"
"173","8",2,"T2Trial","Choice","877.9","right","fr0p13","fr0p0",5,"fr0p0"
"174","8",2,"T2Trial","Choice","725.1","left","fp13H","fr0p13",6,"fp13H"
"175","8",2,"T2Trial","Choice","539.1","left","fr0p0","fp13L",7,"fr0p0"
"176","8",2,"T2Trial","Choice","1129.8","left","fp1H","fp13H",8,"fp1H"
"177","8",2,"T2Trial","Choice","937.5","right","fp13H","fp1H",9,"fp1H"
"178","8",2,"T2Trial","Choice","931.8","right","fr0p13","fp13H",10,"fp13H"
"179","8",2,"T2Trial","Choice","917.6","left","fp13H","fp13L",11,"fp13H"
"180","8",2,"T2Trial","Choice","1017.3","right","fr1p1","fr1p13",12,"fr1p13"
"181","8",2,"T2Trial","Choice","1527","right","fr0p0","fp13L",13,"fp13L"
"182","8",2,"T2Trial","Choice","938.2","left","fp13H","fr0p13",14,"fp13H"
"183","8",2,"T2Trial","Choice","1038.5","left","fr1p1","fr1p13",15,"fr1p1"
"184","8",2,"T2Trial","Choice","662.1","left","fp13H","fr0p13",16,"fp13H"
"185","8",2,"T2Trial","Choice","1219.2","right","fp13L","fr0p0",17,"fr0p0"
"186","8",2,"T2Trial","Choice","1265.2","right","fp1H","fp13H",18,"fp13H"
"187","8",2,"T2Trial","Choice","1668.5","right","fr0p13","fr0p0",19,"fr0p0"
"188","8",2,"T2Trial","Choice","567.2","right","fp13L","fp13H",20,"fp13H"
"189","8",2,"T2Trial","Choice","615.5","left","fp13H","fp13L",21,"fp13H"
"190","8",2,"T2Trial","Choice","818.8","right","fr1p13","fr1p1",22,"fr1p1"
"191","8",2,"T2Trial","Choice","1074.4","left","fr0p0","fr0p13",23,"fr0p0"
"192","8",2,"T2Trial","Choice","866.3","right","fp1H","fp13H",24,"fp13H"
"193","10",2,"T2Trial","Choice","883.2","right","fr0p13","fp13H",1,"fp13H"
