"","subject","task","display","screen","rt","response","T3.img","trial"
"260","4",3,"T3Trial","Rating Screen","1246.1",2,"6.png",44
"261","4",3,"T3Trial","Rating Screen","1870.8",3,"43.png",45
"262","4",3,"T3Trial","Rating Screen","1283.6",3,"61.png",46
"263","4",3,"T3Trial","Rating Screen","1842.5",1,"34.png",47
"264","4",3,"T3Trial","Rating Screen","1327.8",2,"63.png",48
"265","4",3,"T3Trial","Rating Screen","1857.5",3,"16.png",49
"266","4",3,"T3Trial","Rating Screen","2924.7",0,"12.png",50
"267","4",3,"T3Trial","Rating Screen","3847.1",2,"30.png",51
"268","4",3,"T3Trial","Rating Screen","2265",0,"10.png",52
"269","4",3,"T3Trial","Rating Screen","2152.4",3,"44.png",53
"270","4",3,"T3Trial","Rating Screen","1778.5",2,"68.png",54
"271","4",3,"T3Trial","Rating Screen","1375.1",2,"72.png",55
"272","4",3,"T3Trial","Rating Screen","1412.8",3,"57.png",56
"273","4",3,"T3Trial","Rating Screen","2738.3",-1,"70.png",57
"274","4",3,"T3Trial","Rating Screen","2019.3",2,"36.png",58
"275","4",3,"T3Trial","Rating Screen","1902.9",2,"14.png",59
"276","4",3,"T3Trial","Rating Screen","1406.4",3,"22.png",60
"277","4",3,"T3Trial","Rating Screen","2198.4",2,"23.png",61
"278","4",3,"T3Trial","Rating Screen","1301.5",3,"47.png",62
"279","4",3,"T3Trial","Rating Screen","1150.1",3,"25.png",63
"280","4",3,"T3Trial","Rating Screen","1590.2",2,"45.png",64
"281","4",3,"T3Trial","Rating Screen","2274.4",1,"35.png",65
"282","4",3,"T3Trial","Rating Screen","1557.3",2,"1.png",66
"283","4",3,"T3Trial","Rating Screen","1766.8",3,"19.png",67
"284","4",3,"T3Trial","Rating Screen","1140.9",3,"40.png",68
"285","4",3,"T3Trial","Rating Screen","1932",0,"17.png",69
"286","4",3,"T3Trial","Rating Screen","2010.8",1,"31.png",70
"287","4",3,"T3Trial","Rating Screen","1807.4",0,"26.png",71
"288","4",3,"T3Trial","Rating Screen","1380.3",3,"9.png",72
"289","5",3,"T3Trial","Rating Screen","3003.1",2,"8.png",1
"290","5",3,"T3Trial","Rating Screen","1151.8",3,"24.png",2
"291","5",3,"T3Trial","Rating Screen","1176.4",3,"29.png",3
"292","5",3,"T3Trial","Rating Screen","1463.8",1,"28.png",4
"293","5",3,"T3Trial","Rating Screen","1465.8",0,"37.png",5
"294","5",3,"T3Trial","Rating Screen","1157.4",0,"54.png",6
"295","5",3,"T3Trial","Rating Screen","1075.9",1,"30.png",7
"296","5",3,"T3Trial","Rating Screen","1253.8",2,"49.png",8
"297","5",3,"T3Trial","Rating Screen","1018.6",2,"27.png",9
"298","5",3,"T3Trial","Rating Screen","1051.3",1,"47.png",10
"299","5",3,"T3Trial","Rating Screen","878",1,"65.png",11
"300","5",3,"T3Trial","Rating Screen","1622.1",0,"53.png",12
"301","5",3,"T3Trial","Rating Screen","1072.7",1,"5.png",13
"302","5",3,"T3Trial","Rating Screen","775.6",1,"51.png",14
"303","5",3,"T3Trial","Rating Screen","1397.7",2,"55.png",15
"304","5",3,"T3Trial","Rating Screen","1093.6",2,"13.png",16
"305","5",3,"T3Trial","Rating Screen","1188.9",2,"22.png",17
"306","5",3,"T3Trial","Rating Screen","1065.4",2,"59.png",18
"307","5",3,"T3Trial","Rating Screen","1214.1",2,"48.png",19
"308","5",3,"T3Trial","Rating Screen","890.3",1,"34.png",20
"309","5",3,"T3Trial","Rating Screen","1417.2",1,"61.png",21
"310","5",3,"T3Trial","Rating Screen","1061.2",2,"12.png",22
"311","5",3,"T3Trial","Rating Screen","937.7",1,"50.png",23
"312","5",3,"T3Trial","Rating Screen","1313",2,"52.png",24
"313","5",3,"T3Trial","Rating Screen","959.4",1,"25.png",25
"314","5",3,"T3Trial","Rating Screen","1038.7",1,"9.png",26
"315","5",3,"T3Trial","Rating Screen","771.8",1,"42.png",27
"316","5",3,"T3Trial","Rating Screen","753.7",1,"39.png",28
"317","5",3,"T3Trial","Rating Screen","967.9",1,"67.png",29
"318","5",3,"T3Trial","Rating Screen","875.3",1,"6.png",30
"319","5",3,"T3Trial","Rating Screen","1392.9",3,"11.png",31
